Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
29/12/2023;6.2;6.3;6.3;6.2;6.249283084;661430;4133463.31;28/12/2023;6.2
28/12/2023;6.25;6.2;6.25;6;6.161318196;21977;135407.29;27/12/2023;6.2
27/12/2023;6.2;6.2;6.2;6.18;6.197187355;64562;400102.81;26/12/2023;6.2
26/12/2023;6.2;6.2;6.2;6.2;6.19981992;49478;306754.69;22/12/2023;6.21
22/12/2023;6.21;6.21;6.21;6.21;6.21;161941;1005653.61;21/12/2023;6.21
21/12/2023;6.3;6.21;6.3;6.18;6.26285369;63297;396419.85;20/12/2023;6.25
20/12/2023;6.25;6.25;6.25;6.15;6.20336846;24388;151287.75;19/12/2023;6.2
19/12/2023;6.2;6.2;6.21;6.2;6.200193896;264575;1640416.3;18/12/2023;6.2
18/12/2023;6.2;6.2;6.2;6.05;6.19202916;24966;154590.2;15/12/2023;6.2
15/12/2023;6.1;6.2;6.2;6;6.174031729;144097;889659.45;14/12/2023;6.1
14/12/2023;6.05;6.1;6.1;6.05;6.090748692;101911;620714.29;13/12/2023;5.95
13/12/2023;5.9;5.95;5.95;5.9;5.912267506;13495;79786.05;12/12/2023;5.9
12/12/2023;5.9;5.9;5.91;5.9;5.903928949;31217;184302.95;11/12/2023;5.9
11/12/2023;5.9;5.9;5.9;5.9;5.899601926;109653;646909.05;7/12/2023;5.85
7/12/2023;5.85;5.85;5.85;5.85;5.852460956;2113;12366.25;6/12/2023;5.9
6/12/2023;5.9;5.9;5.9;5.9;5.900030967;4521;26674.04;5/12/2023;5.9
5/12/2023;5.85;5.9;5.9;5.85;5.894755942;81292;479196.5;4/12/2023;5.82
4/12/2023;5.8;5.82;5.82;5.8;5.808763882;10355;60149.75;1/12/2023;5.75
1/12/2023;5.75;5.75;5.8;5.75;5.793372005;636814;3689300.4;30/11/2023;5.78
30/11/2023;5.78;5.78;5.78;5.78;5.779992982;196628;1136508.46;29/11/2023;5.85
29/11/2023;5.79;5.85;5.85;5.75;5.848899698;2030034;11873465.25;28/11/2023;5.85
28/11/2023;5.85;5.85;5.85;5.85;5.850385298;24786;145007.65;27/11/2023;5.8
27/11/2023;5.7;5.8;5.8;5.7;5.748374473;41525;238701.25;24/11/2023;5.75
24/11/2023;5.7;5.75;5.75;5.7;5.741864022;26872;154295.37;23/11/2023;5.75
23/11/2023;5.7;5.75;5.78;5.7;5.749768286;318021;1828547.06;22/11/2023;5.75
22/11/2023;5.75;5.75;5.75;5.75;5.750534368;17778;102233;21/11/2023;5.75
21/11/2023;5.75;5.75;5.75;5.7;5.744711787;23212;133346.25;20/11/2023;5.75
20/11/2023;5.85;5.75;5.85;5.75;5.801741993;8961;51989.41;17/11/2023;5.9
17/11/2023;5.81;5.9;5.9;5.81;5.890670809;24463;144103.48;16/11/2023;5.75
16/11/2023;5.75;5.75;5.75;5.75;5.75053693;3818;21955.55;15/11/2023;5.7
15/11/2023;5.7;5.7;5.7;5.7;5.700746402;44614;254333.1;14/11/2023;5.75
14/11/2023;5.8;5.75;5.8;5.75;5.765543364;37093;213861.3;13/11/2023;5.85
13/11/2023;5.85;5.85;5.85;5.85;5.86290469;6610;38753.8;10/11/2023;5.9
10/11/2023;5.9;5.9;5.9;5.9;5.900033052;18153;107103.3;9/11/2023;5.85
9/11/2023;5.85;5.85;5.85;5.85;5.844636776;1762;10298.25;8/11/2023;5.8
8/11/2023;5.8;5.8;5.8;5.8;5.809996915;3241;18830.2;7/11/2023;5.7
7/11/2023;5.7;5.7;5.7;5.7;5.699939025;278805;1589171.5;6/11/2023;5.7
6/11/2023;5.6;5.7;5.7;5.6;5.669018422;10585;60006.56;3/11/2023;5.6
